9 7 14.282619
9 8 16.273744
9 9 18.258232
9 10 20.242702
9 11 22.236072
9 12 24.249513
9 13 26.296768
9 14 28.394231
9 15 30.561106
9 16 32.819693
9 17 35.195633
9 18 37.718200
9 19 40.420647
9 20 43.340280
9 21 46.518431
9 22 50.000000
9 23 53.832179
9 24 58.062159
9 25 62.733216
9 26 67.878374
9 27 73.511864
9 28 79.618597
9 29 86.143704
9 30 92.985799
9 31 100.000000

10 0 0.000000
10 1 2.308548
10 2 4.611050
10 3 6.901897
10 4 9.176325
10 5 11.430927
10 6 13.663853
10 7 15.875041
10 8 18.066574
10 9 20.242702
10 10 22.409991
10 11 24.577202
10 12 26.755748
10 13 28.959240
10 14 31.204049
10 15 33.508921
10 16 35.895450
10 17 38.387782
10 18 41.013174
10 19 43.801450
10 20 46.785440
10 21 50.000000
10 22 53.481569
10 23 57.266509
10 24 61.388917
10 25 65.876998
10 26 70.748431
10 27 76.004232
10 28 81.622507
10 29 87.552929
10 30 93.714654
10 31 100.000000

11 0 0.000000
11 1 2.554491
11 2 5.100786
11 3 7.631158
11 4 10.139056
11 5 12.619421
11 6 15.069112
11 7 17.487108
11 8 19.874797
11 9 22.236072
11 10 24.577202
11 11 26.907105
11 12 29.236950
11 13 31.580484
11 14 33.953756
11 15 36.375158
11 16 38.865262
11 17 41.446965
11 18 44.145109
11 19 46.986657
11 20 50.000000
11 21 53.214560
11 22 56.659720
11 23 60.363415
11 24 64.349957
11 25 68.637474
11 26 73.234101
11 27 78.134133
11 28 83.314252
11 29 88.730888
11 30 94.319895
11 31 100.000000

12 0 0.000000
12 1 2.808654
12 2 5.606382
12 3 8.382918
12 4 11.129314
12 5 13.838607
12 6 16.506047
12 7 19.129462
12 8 21.709452
12 9 24.249513
12 10 26.755748
12 11 29.236950
12 12 31.704465
12 13 34.171981
12 14 36.655375
12 15 39.172659
12 16 41.743543
12 17 44.389576
12 18 47.133687
12 19 50.000000
12 20 53.013343
12 21 56.198550
12 22 59.579353
12 23 63.177380
12 24 67.010094
12 25 71.088861
12 26 75.416356
12 27 79.983918
12 28 84.769511
12 29 89.736458
12 30 94.834006
12 31 100.000000

13 0 0.000000
13 1 3.073766
13 2 6.133197
13 3 9.164767
13 4 12.156731
13 5 15.099646
13 6 17.986973
13 7 20.815178
13 8 23.584101
13 9 26.296768
13 10 28.959240
13 11 31.580484
13 12 34.171981
13 13 36.747544
13 14 39.323181
13 15 41.916472
13 16 44.546646
13 17 47.234056
13 18 50.000000
13 19 52.866313
13 20 55.854891
13 21 58.986826
13 22 62.281800
13 23 65.756647
13 24 69.424163
13 25 73.291553
13 26 77.358518
13 27 81.615678
13 28 86.043405
13 29 90.611475
13 30 95.279660
13 31 100.000000

14 0 0.000000
14 1 3.353218
14 2 6.687820
14 3 9.986262
14 4 13.233175
14 5 16.416344
14 6 19.526996
14 7 22.560222
14 8 25.515011
14 9 28.394231
14 10 31.204049
14 11 33.953756
14 12 36.655375
14 13 39.323181
14 14 41.973315
14 15 44.623526
14 16 47.292537
14 17 50.000000
14 18 52.765944
14 19 55.610424
14 20 58.553035
14 21 61.612218
14 22 64.804367
14 23 68.143210
14 24 71.638431
14 25 75.294716
14 26 79.110503
14 27 83.076839
14 28 87.177016
14 29 91.386368
14 30 95.673117
